League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2024-11-7;20;3;17;2;Regular Season;1;0;0;5322
0;2024-11-7;19;6;4;5;Regular Season;1;0;0;5334
0;2024-11-7;15;2;1;5;Regular Season;1;0;0;5414
0;2024-11-8;10;0;6;9;Regular Season;1;0;0;5341
0;2024-11-8;22;3;20;4;Regular Season;1;0;0;5299
0;2024-11-8;17;5;12;2;Regular Season;1;0;0;5395
0;2024-11-8;21;11;15;1;Regular Season;1;0;0;5370
0;2024-11-8;16;6;27;3;Regular Season;1;0;0;5424
0;2024-11-8;9;5;3;1;Regular Season;1;0;0;6133
0;2024-11-8;4;5;11;2;Regular Season;1;0;0;5347
0;2024-11-9;0;6;1;5;Regular Season;1;1;0;5535
0;2024-11-9;29;3;26;6;Regular Season;1;0;0;5317
0;2024-11-9;12;3;25;6;Regular Season;1;0;0;5420
0;2024-11-10;18;4;9;0;Regular Season;1;0;0;5392
0;2024-11-10;19;2;27;3;Regular Season;1;1;1;5331
0;2024-11-10;11;6;31;3;Regular Season;1;0;0;5985
0;2024-11-10;6;7;29;3;Regular Season;1;0;0;6122
0;2024-11-10;8;1;26;2;Regular Season;1;0;0;5538
0;2024-11-10;17;7;3;1;Regular Season;1;0;0;5441
0;2024-11-11;15;3;16;2;Regular Season;1;1;1;6157
0;2024-11-11;17;7;20;0;Regular Season;1;0;0;5325
0;2024-11-11;10;2;27;5;Regular Season;1;0;0;5350
0;2024-11-11;22;1;0;6;Regular Season;1;0;0;5361
0;2024-11-11;12;6;7;3;Regular Season;1;0;0;5797
0;2024-11-11;4;4;11;6;Regular Season;1;0;0;5409
0;2024-11-12;6;8;31;7;Regular Season;1;1;1;5387
0;2024-11-12;20;2;18;3;Regular Season;1;0;0;5343
0;2024-11-12;21;3;0;6;Regular Season;1;0;0;5401
0;2024-11-12;9;3;16;2;Regular Season;1;0;0;5369
0;2024-11-12;19;4;3;1;Regular Season;1;0;0;5337
0;2024-11-12;12;3;1;6;Regular Season;1;0;0;5961
0;2024-11-12;8;5;15;8;Regular Season;1;0;0;5537
0;2024-11-12;4;2;22;5;Regular Season;1;0;0;5309
0;2024-11-12;25;1;26;3;Regular Season;1;0;0;5522
0;2024-11-13;21;0;10;0;Regular Season;0;0;0;5363
0;2024-11-13;1;0;29;0;Regular Season;0;0;0;5335
0;2024-11-14;27;0;16;0;Regular Season;0;0;0;5354
0;2024-11-14;22;0;11;0;Regular Season;0;0;0;5373
0;2024-11-14;8;0;15;0;Regular Season;0;0;0;5425
0;2024-11-14;7;0;18;0;Regular Season;0;0;0;5469
0;2024-11-14;10;0;17;0;Regular Season;0;0;0;5366
0;2024-11-14;26;0;31;0;Regular Season;0;0;0;5595
0;2024-11-14;19;0;6;0;Regular Season;0;0;0;5340
0;2024-11-15;18;0;26;0;Regular Season;0;0;0;5491
0;2024-11-15;6;0;20;0;Regular Season;0;0;0;5326
0;2024-11-15;29;0;1;0;Regular Season;0;0;0;5319
0;2024-11-15;16;0;0;0;Regular Season;0;0;0;5360
0;2024-11-15;31;0;3;0;Regular Season;0;0;0;5454
0;2024-11-15;9;0;27;0;Regular Season;0;0;0;5421
0;2024-11-16;19;0;25;0;Regular Season;0;0;0;5345
0;2024-11-16;0;0;1;0;Regular Season;0;0;0;6147
0;2024-11-16;3;0;7;0;Regular Season;0;0;0;5476
0;2024-11-16;11;0;4;0;Regular Season;0;0;0;5407
0;2024-11-16;8;0;9;0;Regular Season;0;0;0;5449
0;2024-11-17;29;0;21;0;Regular Season;0;0;0;5346
0;2024-11-17;17;0;6;0;Regular Season;0;0;0;5342
0;2024-11-17;7;0;27;0;Regular Season;0;0;0;6140
0;2024-11-17;15;0;25;0;Regular Season;0;0;0;5541
0;2024-11-18;21;0;26;0;Regular Season;0;0;0;5413
0;2024-11-18;29;0;17;0;Regular Season;0;0;0;5357
0;2024-11-18;1;0;10;0;Regular Season;0;0;0;5374
0;2024-11-18;11;0;19;0;Regular Season;0;0;0;5362
0;2024-11-18;6;0;20;0;Regular Season;0;0;0;5367
0;2024-11-18;9;0;15;0;Regular Season;0;0;0;5500
0;2024-11-18;27;0;22;0;Regular Season;0;0;0;5385
0;2024-11-19;12;0;22;0;Regular Season;0;0;0;5376
